S_ECH,pn,an,deb,peche,engin,maille,LAT_VOY,LONG_VOY,no_db,prof,catch,longt,poidt,SEXE,poidg,poids,matc,dev,choixc,agec,sagec,cohorte,Pecheur,Remarques,datetime_set,datetime_haul,soak_time
67346,11,2021,Blanc Sablon,4SW,41,2.25,51.398316,-57.140716,8,16,2.5,321.3,293.465506,M,36.23246562,257.2330404,40,A,P,7,,2014,Adrien Lavallée,NA,2021-06-22 13:00:00,2021-06-23 07:30:00,18.5
67346,12,2021,Blanc Sablon,4SW,41,2.25,51.398316,-57.140716,8,16,2.5,352.92,307.5383876,F,16.70712153,290.8312661,31,A,A,12,,2009,Adrien Lavallée,NA,2021-06-22 13:00:00,2021-06-23 07:30:00,18.5
67346,13,2021,Blanc Sablon,4SW,41,2.25,51.398316,-57.140716,8,16,2.5,336.6,311.5636228,F,16.40875139,295.1548714,32,A,A,12,,2009,Adrien Lavallée,NA,2021-06-22 13:00:00,2021-06-23 07:30:00,18.5
67346,14,2021,Blanc Sablon,4SW,41,2.25,51.398316,-57.140716,8,16,2.5,341.7,317.386008,M,43.67989434,273.7061137,40,A,P,9,,2012,Adrien Lavallée,NA,2021-06-22 13:00:00,2021-06-23 07:30:00,18.5
67346,15,2021,Blanc Sablon,4SW,41,2.5,51.398316,-57.140716,17,16,6.2,386.58,424.8536303,F,30.96128743,393.8923429,32,A,A,12,,2009,Adrien Lavallée,NA,2021-06-22 13:00:00,2021-06-23 07:30:00,18.5
67346,16,2021,Blanc Sablon,4SW,41,2.5,51.398316,-57.140716,17,16,6.2,353.94,393.7645087,M,103.3378639,290.4266449,50,A,P,10,,2011,Adrien Lavallée,NA,2021-06-22 13:00:00,2021-06-23 07:30:00,18.5
67346,17,2021,Blanc Sablon,4SW,41,2.5,51.398316,-57.140716,17,16,6.2,368.22,386.8403964,F,26.89770557,359.9426909,32,A,A,12,+,2009,Adrien Lavallée,NA,2021-06-22 13:00:00,2021-06-23 07:30:00,18.5
67346,18,2021,Blanc Sablon,4SW,41,2.5,51.398316,-57.140716,17,16,6.2,364.14,410.5603978,M,85.97810818,324.5822897,50,A,P,8,,2013,Adrien Lavallée,NA,2021-06-22 13:00:00,2021-06-23 07:30:00,18.5
67346,19,2021,Blanc Sablon,4SW,41,2.5,51.398316,-57.140716,17,16,6.2,369.24,364.7956544,F,20.15448309,344.6411713,31,A,A,11,,2010,Adrien Lavallée,NA,2021-06-22 13:00:00,2021-06-23 07:30:00,18.5
67346,20,2021,Blanc Sablon,4SW,41,2.5,51.398316,-57.140716,17,16,6.2,380.46,430.2923723,M,55.46831706,374.8240552,30,A,A,11,,2010,Adrien Lavallée,NA,2021-06-22 13:00:00,2021-06-23 07:30:00,18.5
